state,R0,total_vaccines_per_day,death_rate0,death_rate1,death_rate2,death_rate3,death_rate4,death_rate5,population0,population1,population2,population3,population4,population5,initialS0,initialS1,initialS2,initialS3,initialS4,initialS5,initialE0,initialE1,initialE2,initialE3,initialE4,initialE5,initialI0,initialI1,initialI2,initialI3,initialI4,initialI5,initialR0,initialR1,initialR2,initialR3,initialR4,initialR5
MS,1.11067431,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,179497,401541,214658,759645,743259,677549,167491.24,374683.7,200300.477,708835.71,693545.697,632230.747,285.180192,637.957957,341.04308,1206.90433,1180.87068,1076.47233,380.240256,850.61061,454.724106,1609.20578,1574.49424,1435.29644,11340.3391,25368.7309,13561.756,47993.1803,46957.9385,42806.4837
MO,0.97176897,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,365451,772588,398235,1621658,1504704,1474792,342058.604,723134.9,372744.111,1517856.21,1408388.4,1380391.06,392.739496,830.277717,427.971502,1742.7484,1617.06136,1584.91581,523.652662,1107.03696,570.628669,2323.66454,2156.08181,2113.22108,22476.0042,47515.7849,24492.289,99735.3735,92542.4568,90702.8059
MT,0.90544233,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,58850,129606,70013,269745,253997,286567,54529.7661,120091.501,64873.2797,249942.765,235350.841,265529.847,71.0311215,156.432617,84.5047054,325.578418,306.570803,345.882335,94.708162,208.576823,112.67294,434.104557,408.761071,461.176446,4154.49467,9149.48914,4942.54265,19042.5516,17930.8272,20230.0947
NE,0.96237501,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,129551,268695,131674,522125,447656,434707,118917.334,246640.266,120866.076,479268.496,410911.981,399025.847,151.691378,314.615208,154.1772,611.356614,524.160798,508.998802,202.255171,419.486944,205.569601,815.142152,698.881063,678.66507,10279.7195,21320.6323,10448.1771,41430.0047,35520.9772,34493.4892
NV,1.00619196,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,184168,392005,184666,848912,787333,683072,171646.38,365352.501,172110.521,791194.302,733802.07,636629.797,310.524322,660.956772,311.363996,1431.34433,1327.51643,1151.72272,414.032429,881.275696,415.151995,1908.45911,1770.02191,1535.63029,11797.0628,25110.2667,11828.9626,54377.8949,50433.3914,43754.8502
NH,1.13533206,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,64200,143711,87386,334969,372342,357103,62393.7551,139667.741,84927.425,325544.763,361866.286,347056.03,80.8808637,181.050931,110.091202,422.002835,469.086332,449.887836,107.841152,241.401242,146.788269,562.670447,625.448443,599.850448,1617.52284,3620.80724,2201.6955,8439.564,9381.17897,8997.23145
NJ,0.95718838,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,511925,1087796,555206,2261333,2387491,2078439,486309.092,1033364.43,527424.38,2148179.52,2268024.77,1974437.24,573.501161,1218.63997,621.988154,2533.33418,2674.66692,2328.44104,764.668215,1624.8533,829.317539,3377.77891,3566.22255,3104.58805,24277.7383,51588.0775,26330.3139,107242.371,113225.339,98568.7319
NM,0.93187794,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,116978,276958,139186,557900,487734,518073,109548.156,259367.044,130345.617,522465.045,456755.63,485167.652,177.788544,420.933505,211.541284,847.922077,741.280563,787.39117,237.051392,561.244673,282.055045,1130.56277,988.374084,1049.85489,7015.00452,16608.7779,8346.78674,33456.4707,29248.7153,31068.102
NY,1.09224581,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,1119825,2216386,1187268,5386989,4965204,4577889,1069535.87,2116852.48,1133950.14,5145069.96,4742226.5,4372305.05,1279.12989,2531.68627,1356.16725,6153.33525,5671.54765,5229.1337,1705.50652,3375.58169,1808.22299,8204.447,7562.06353,6972.17827,47304.4925,93626.2495,50153.4706,227561.253,209743.893,193382.641
NC,1.11092903,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,596583,1302230,713066,2747971,2719162,2409072,568492.719,1240914.13,679491.084,2618582,2591129.48,2295640.16,794.039958,1733.2419,949.076485,3657.49406,3619.14986,3206.42631,1058.71994,2310.9892,1265.43531,4876.65874,4825.53314,4275.23508,26237.5209,57271.6401,31360.4043,120854.846,119587.836,105950.181
